file,start_time,axis,rms,std,peak_to_peak,time_skew,time_kurtosis,band_energy_ratio,dominant_freq,spectral_centroid,peak_count,spectral_kurtosis,cluster,key,chatter_label
5mm325_cleaned.csv,17.995530313,Y,1.125398775554969,1.1253965370942676,5.466725364196075,-0.12144432829572842,-0.4402609540985809,0.9969388962664962,96.0,108.32604614090293,5,54.33964959869656,0,5mm325_cleaned.csv_17.995530313_Y,0
5mm325_cleaned.csv,17.995530313,Z,1.4456631323389983,1.4456566175496315,7.177338182587272,0.0014490381482272223,-0.0568957204707532,0.998606846749695,96.0,100.73669913893788,4,66.79203800538536,0,5mm325_cleaned.csv_17.995530313_Z,0
5mm325_cleaned.csv,18.995281771,X,1.6386893835887277,1.638688569510122,7.635997123963557,0.031604920793404746,-0.38358500208715895,0.9993867859009379,96.0,108.17132703242595,4,66.00304688019541,0,5mm325_cleaned.csv_18.995281771_X,0
5mm325_cleaned.csv,18.995281771,Y,1.1473360196643996,1.1473354825687068,5.5909948817633905,-0.061046243630421194,-0.4435399625263865,0.9974524810119267,101.0,107.146956168272,6,45.61854788727084,0,5mm325_cleaned.csv_18.995281771_Y,0
5mm325_cleaned.csv,18.995281771,Z,1.457939498959263,1.4579385657508759,7.304396440019028,0.007997377400741626,0.048943270623377,0.9991103796758202,101.0,104.27089055179309,4,68.29448474344966,0,5mm325_cleaned.csv_18.995281771_Z,0
5mm325_cleaned.csv,19.995033125,X,1.5952552910181022,1.5952550850834493,7.330359136147895,-0.025815781327199593,-0.4186349877401776,0.9990650879372874,96.0,110.53408983640652,4,91.86325114994044,0,5mm325_cleaned.csv_19.995033125_X,0
5mm325_cleaned.csv,19.995033125,Y,1.0890715220414924,1.0890714362679665,4.952044540359635,-0.10572121849684579,-0.46116421064173174,0.9977623880581244,96.0,111.05308378795087,5,59.69600134632533,0,5mm325_cleaned.csv_19.995033125_Y,0
5mm325_cleaned.csv,19.995033125,Z,1.3233196984340583,1.323317109421162,7.219179182925824,0.010374032696845685,0.2189060388465638,0.9992252262468521,96.0,104.2095747455029,4,80.11606807826924,0,5mm325_cleaned.csv_19.995033125_Z,0
5mm325_cleaned.csv,20.994784688,X,1.3898228275489526,1.3898225438955178,6.74609385960612,0.022315960309496178,-0.33828975470436307,0.9990952436963988,96.0,113.37695682481949,5,79.0659979251008,0,5mm325_cleaned.csv_20.994784688_X,0
5mm325_cleaned.csv,20.994784688,Y,0.9812443279451545,0.9812443081835724,5.194806353473249,-0.08247684454657442,-0.36950266738599824,0.9974247165590424,96.0,111.43975427012963,4,56.813221363330506,0,5mm325_cleaned.csv_20.994784688_Y,0
5mm325_cleaned.csv,20.994784688,Z,1.1608347562855417,1.1608311915582163,6.495395677684641,-0.017427707074046637,0.21424028644994264,0.9989242063681115,96.0,105.26452200389478,4,74.74227483998085,0,5mm325_cleaned.csv_20.994784688_Z,0
5mm325_cleaned.csv,21.994535886,X,1.3684278980635507,1.3684249227937666,7.128480785837004,0.0044155831618816815,-0.017339564244838623,0.998121217470652,96.0,109.81824382728932,6,76.64997847352173,0,5mm325_cleaned.csv_21.994535886_X,0
5mm325_cleaned.csv,21.994535886,Y,0.9498975657746592,0.9498967450451954,4.403367167916839,-0.10844100572282755,-0.353745815508542,0.9976108855825887,96.0,110.29080682201392,7,58.91598759960032,0,5mm325_cleaned.csv_21.994535886_Y,0
5mm325_cleaned.csv,21.994535886,Z,1.0793412459958764,1.0793407392321397,5.791468932862038,0.00951753709079363,0.2724038356452936,0.9994464265098022,96.0,107.71466529704234,4,70.60742486642432,0,5mm325_cleaned.csv_21.994535886_Z,0
5mm325_cleaned.csv,22.994286875,X,1.3875670476782016,1.3875665022628476,7.108782931739517,-0.01018683060040237,-0.06880501112674509,0.9997216134033384,96.0,110.57224608295306,5,96.65644380904043,0,5mm325_cleaned.csv_22.994286875_X,0
5mm325_cleaned.csv,22.994286875,Y,0.9458526189094048,0.9458526177758781,4.46143055094144,-0.1481396709017812,-0.36224592131931166,0.9973286232945263,96.0,111.70471672638404,8,61.87150355956365,0,5mm325_cleaned.csv_22.994286875_Y,0
5mm325_cleaned.csv,22.994286875,Z,1.0639863916734595,1.063986338941553,5.8773145517180385,0.032077853404870196,0.25633788598331186,0.9994869343645354,96.0,109.25232977071765,5,81.8511429003147,0,5mm325_cleaned.csv_22.994286875_Z,0
5mm325_cleaned.csv,23.994037917,X,1.0484819547972606,1.04848023504128,5.728889738515429,0.02984624063171456,-0.2534671477067074,0.9977866256676228,96.0,110.89022481390765,6,39.25992849849299,0,5mm325_cleaned.csv_23.994037917_X,0
5mm325_cleaned.csv,23.994037917,Y,0.7917997283836469,0.7917991708130061,3.741482208554937,-0.03838354099912738,-0.385783434266985,0.9953490139107934,96.0,114.02016056309014,6,48.425079426673705,0,5mm325_cleaned.csv_23.994037917_Y,0
5mm325_cleaned.csv,23.994037917,Z,0.7212687838535389,0.721268744651625,4.049576136809053,0.052302882911641306,0.21767235933158746,0.9994286844404547,96.0,109.37961753545687,4,40.27991407762816,0,5mm325_cleaned.csv_23.994037917_Z,0
5mm325_cleaned.csv,24.993788698,X,1.1700391173239657,1.1700372709905307,5.590869172985039,-0.006844859764263789,-0.2888641274335213,0.9988131016349893,96.0,110.95234783826407,3,79.06547369667109,0,5mm325_cleaned.csv_24.993788698_X,0
5mm325_cleaned.csv,24.993788698,Y,0.8777521174204501,0.8777474864514764,3.985953901669276,-0.11960248609909732,-0.45457625551332725,0.9962207915528457,96.0,107.93251944498627,5,59.43720961582893,0,5mm325_cleaned.csv_24.993788698_Y,0
5mm325_cleaned.csv,24.993788698,Z,0.8331687650277526,0.8331681749958536,4.143743517397743,0.05028802604146374,-0.19621725009636126,0.9996322378119632,96.0,107.15500316432303,4,70.40535865400028,0,5mm325_cleaned.csv_24.993788698_Z,0
5mm325_cleaned.csv,25.993539063,X,1.0163786433460864,1.0163745059745424,5.409809345494485,0.018612357219055322,-0.491049462157342,0.9984779373382768,102.0,107.94077983674,4,63.1485535840054,0,5mm325_cleaned.csv_25.993539063_X,0
5mm325_cleaned.csv,25.993539063,Y,0.7977250091967499,0.7977165829475781,4.051421971359036,-0.012866395928209692,-0.42600755165696613,0.9930727299636113,102.0,107.10475982285341,7,30.213300908530726,0,5mm325_cleaned.csv_25.993539063_Y,0
5mm325_cleaned.csv,25.993539063,Z,0.7143725035462385,0.7143657116031626,4.885757679463504,-0.023121774700226163,0.9303295523807233,0.997420074489919,102.0,103.51653319565288,4,51.9709830065895,0,5mm325_cleaned.csv_25.993539063_Z,0
5mm325_cleaned.csv,26.993289011,X,1.8300387595414565,1.8300249752644053,8.599127376904477,-0.10224405530699993,-0.5076047927256648,0.9975786137429451,96.0,104.02761411359727,4,60.06229870043887,0,5mm325_cleaned.csv_26.993289011_X,0
5mm325_cleaned.csv,26.993289011,Y,1.3765451727825722,1.3765352463696359,6.328981974869295,-0.015252643104262314,-0.5068123391354025,0.9961949949211661,96.0,102.62191933995015,5,54.36212210529447,0,5mm325_cleaned.csv_26.993289011_Y,0
5mm325_cleaned.csv,26.993289011,Z,1.9526141622113273,1.9526092163080442,9.865782181044533,-0.08084091388632844,-0.045523054557348175,0.9986734890083818,96.0,103.02005886597867,4,58.28704926353708,0,5mm325_cleaned.csv_26.993289011_Z,0
